epoch,train_rmse_loss,val_rmse_loss,train_mae_unscaled,val_mae_unscaled
0,0.8341287474227578,0.8284760008111668,20.128813,19.81728
1,0.75534875977619,0.8057724951545974,17.796824,19.04072
2,0.7164461565356138,0.7339542977475889,16.815283,16.65019
3,0.685888503837067,0.6752677436036189,16.118639,15.901133
4,0.6610074238955741,0.7700291494816398,15.321273,17.344116
5,0.62235271459042,0.6104875650382848,14.445606,13.901202
6,0.6068360064368852,0.7027478223837517,14.010444,16.010735
7,0.5813807402086273,0.5736721132112585,13.325217,12.967017
8,0.5599815621184496,0.5748388453382225,12.921653,12.847508
9,0.5415019176943141,0.5601027548889032,12.43947,12.648039
10,0.5390952812044759,0.6004253807275192,12.323149,13.287779
11,0.5040535538515559,0.526374254969583,11.412212,11.807953
12,0.5074140151545778,0.5267642625576057,11.472682,11.774999
13,0.48613321248299046,0.5495427841149666,10.988252,12.2108135
14,0.4703810740114879,0.5234149389220897,10.646656,11.691078
15,0.45413693216804,0.5260007345446066,10.254737,11.773307
16,0.4468724959766494,0.4954023666427907,10.080505,11.245197
17,0.4761960229118293,0.5435785464042626,10.811986,12.33804
18,0.44810094730042505,0.49808988277462946,10.1335745,10.795712
19,0.4446153914737615,0.5483175996996931,10.011961,12.089601
20,0.4459569537722427,0.4784017392402686,10.125756,10.735118
21,0.4275256529544927,0.4634398959109173,9.536409,10.108212
22,0.40953731275836136,0.5724971284324997,9.222165,12.708109
23,0.41449250095886464,0.48757406925233665,9.371432,10.93023
24,0.40874394835643774,0.451154980826493,9.152444,9.971171
25,0.3979565773673448,0.469508681608283,8.892319,10.21217
26,0.3774399343924161,0.4396335296872733,8.505002,9.694368
27,0.3797354310597944,0.43184069475689946,8.544826,9.5673895
28,0.37286886186694784,0.4643455676122564,8.346035,9.907211
29,0.3750793985444158,0.4509650465946842,8.420238,10.118308
30,0.374364078445436,0.46490196214205975,8.4410515,9.892479
31,0.3627586352414719,0.4602513293137297,8.17836,10.013424
32,0.3649183958183779,0.47767924585780086,8.152593,10.784637
33,0.3554860791458676,0.459411913358071,7.962186,9.95635
34,0.35299924711776404,0.41588436045508453,7.8493237,8.886285
35,0.3418788016562518,0.44740420133595304,7.637039,9.904779
36,0.3315682998959372,0.5908420178049428,7.471654,13.107577
37,0.3510427250355545,0.43830111061317334,7.9235697,9.44649
38,0.32892229754339347,0.45137233045941966,7.355519,9.810944
39,0.31980229073944716,0.46147794711992934,7.1799693,10.1493225
40,0.31975247596405454,0.44903986019212844,7.062068,9.4893875
41,0.33223132604164357,0.442789481025963,7.357495,9.493623
42,0.3184274497600309,0.4489894600018211,7.1062827,9.615466
43,0.323286349046666,0.42727550561877264,7.235051,9.042955
44,0.3058050788266174,0.44270840445578385,6.786959,9.301091
45,0.3091003948721919,0.40835948497200936,6.830538,9.050574
46,0.298387258394324,0.4401808869867509,6.607327,9.400708
47,0.2986525313186703,0.44456430650563633,6.662435,9.652383
48,0.29577101610445683,0.43781062096789264,6.52279,9.121805
49,0.2866157355111591,0.42953637990974575,6.3348074,9.2644615
50,0.2979024497359514,0.4105173481835259,6.566596,8.644233
51,0.2976402823018077,0.41784626663019114,6.6489983,9.025462
52,0.2747564657834029,0.42641801721807837,6.109323,9.350855
53,0.2783150006838343,0.44032957314869053,6.180615,9.465572
54,0.27180442137953664,0.41939831341522327,5.9921436,9.074022
55,0.2646950384311106,0.4036778148245696,5.8091908,8.591449
56,0.27364478654747676,0.41857873256079814,6.0710707,8.94186
57,0.2614114967826557,0.41074743751742415,5.788439,8.595974
58,0.255999722993111,0.42291820898724064,5.7377596,8.858384
59,0.2643931094963217,0.42114280301015733,5.78733,9.034684
60,0.2577365314229598,0.40799918598023016,5.7374134,8.749542
61,0.25616732503452605,0.40688493084792354,5.6219206,8.685098
62,0.2594742033010665,0.41556963626889215,5.779568,8.774746
63,0.267469804746368,0.41104685252415385,5.881496,8.834528
64,0.24966881331703303,0.40680377149351554,5.509308,8.913656
65,0.2558466890397586,0.4262409568696782,5.648477,8.96688
66,0.253905713513192,0.41637927624914384,5.60991,8.714783
67,0.24828074428294225,0.43072092389139,5.473599,9.177424
68,0.24893384922112413,0.4075642642767533,5.482795,8.877899
69,0.258812715480854,0.3969716534810366,5.629038,8.472926
70,0.24476018030004032,0.4314915467287607,5.407977,8.925599
71,0.24159021637332437,0.41678765516926125,5.317349,8.858131
72,0.23635121813194157,0.3959769160995161,5.187134,8.374314
73,0.23585494062901263,0.39890922346840735,5.2118063,8.384918
74,0.22285293034558856,0.395671370740674,4.9009523,8.235819
